opt_code,school_year,school_name,longitude,latitude,city,how_long_delayed
03751,2015-2016,RODEPH SHOLOM ELEM DIV,-73.977326,40.78263,Manhattan,31-45 Min
03755,2015-2016,YESHIVA KETANA OF MANHATTAN,-73.977547,40.791181,Manhattan,0-15 Min
03755,2015-2016,YESHIVA KETANA OF MANHATTAN,-73.977547,40.791181,Manhattan,61-90 Min
03755,2015-2016,YESHIVA KETANA OF MANHATTAN,-73.977547,40.791181,Manhattan,31-45 Min
03755,2015-2016,YESHIVA KETANA OF MANHATTAN,-73.977547,40.791181,Manhattan,46-60 Min
03755,2015-2016,YESHIVA KETANA OF MANHATTAN,-73.977547,40.791181,Manhattan,16-30 Min
03785,2015-2016,MANHATTAN DAY SCHOOL,-73.983485,40.781844,Manhattan,31-45 Min
03785,2015-2016,MANHATTAN DAY SCHOOL,-73.983485,40.781844,Manhattan,46-60 Min
03785,2015-2016,MANHATTAN DAY SCHOOL,-73.983485,40.781844,Manhattan,16-30 Min
03785,2015-2016,MANHATTAN DAY SCHOOL,-73.983485,40.781844,Manhattan,0-15 Min
03785,2015-2016,MANHATTAN DAY SCHOOL,-73.983485,40.781844,Manhattan,61-90 Min
03802,2015-2016,GUILD SCH JGB EDUCATION SERVIC,-73.97986,40.772158,Manhattan,31-45 Min
03802,2015-2016,GUILD SCH JGB EDUCATION SERVIC,-73.97986,40.772158,Manhattan,46-60 Min
03802,2015-2016,GUILD SCH JGB EDUCATION SERVIC,-73.97986,40.772158,Manhattan,0-15 Min
03802,2015-2016,GUILD SCH JGB EDUCATION SERVIC,-73.97986,40.772158,Manhattan,16-30 Min
03802,2015-2016,GUILD SCH JGB EDUCATION SERVIC,-73.97986,40.772158,Manhattan,61-90 Min
03809,2015-2016,CALHOUN SCHOOL,-73.980468,40.785473,Manhattan,16-30 Min
03809,2015-2016,CALHOUN SCHOOL,-73.980468,40.785473,Manhattan,61-90 Min
03809,2015-2016,CALHOUN SCHOOL,-73.980468,40.785473,Manhattan,31-45 Min
03809,2015-2016,CALHOUN SCHOOL,-73.980468,40.785473,Manhattan,0-15 Min
03809,2015-2016,CALHOUN SCHOOL,-73.980468,40.785473,Manhattan,46-60 Min
03811,2015-2016,DWIGHT SCHOOL-RIVERSIDE CAMPUS,-73.98878,40.776774,Manhattan,61-90 Min
